Credit_Card_Exceed_Months,Employment_Type,Loan_Amount,Loan_Tenure_Year,More_Than_One_Products,Credit_Card_types,Number_of_Dependents,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Number_of_Loan_to_Approve,Property_Type,Years_for_Property_to_Completion,State,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Decision,Score
1,employer,,18,yes,normal,2,5,2,,,1,condominium,10,Johor,,10565,757268,17968,Reject,7
1,employer,405343,11,no,gold,2,5,2,2,1,1,condominium,10,Johor,2,6116,746446,,Accept,6
1,employer,,22,yes,normal,2,5,2,2,1,2,condominium,,Johor,1,7443,1409154,19932,Reject,7
1,employer,503581,19,no,normal,2,5,2,2,1,2,condominium,10,Johor,1,,601169,17488,Accept,9
1,employer,132350,,yes,normal,2,5,2,,1,1,condominium,10,Johor,,,1413238,14137,Accept,7
1,employer,139803,14,no,gold,2,5,2,2,1,2,condominium,10,Johor,,,937765,12078,Reject,7
1,employer,,10,yes,normal,2,5,2,2,1,1,condominium,,Johor,,,903515,10349,Accept,6
1,employer,396011,,no,gold,2,,2,2,,2,condominium,10,Johor,3,,439917,10707,Accept,6
1,employer,565418,,yes,gold,2,5,2,,,1,condominium,10,Johor,1,10723,1179235,9137,Reject,6
1,employer,220915,15,no,platinum,2,5,2,2,1,3,condominium,10,Johor,2,,,18803,Accept,7
1,employer,238990,14,yes,normal,2,,2,,,1,condominium,10,Johor,,7616,657335,12506,Reject,6
1,employer,763798,13,no,normal,2,5,,,,2,condominium,10,Johor,2,7968,1438566,,Accept,9
1,employer,155112,14,yes,gold,2,5,2,2,1,1,condominium,10,Johor,3,6821,,,Accept,9
1,employer,623271,,no,normal,2,5,2,2,1,2,condominium,10,Johor,,5697,794586,15483,Accept,6
1,employer,732986,17,yes,normal,2,5,,2,1,1,condominium,10,Johor,,5680,499844,10774,Accept,7
1,employer,475541,17,no,normal,2,5,2,,,3,condominium,10,Johor,3,8893,1394458,8679,Accept,7
1,employer,364495,20,yes,normal,2,,2,,1,1,condominium,10,Johor,,,884635,,Accept,7
1,employer,497623,22,no,normal,2,5,2,,1,2,condominium,10,Johor,3,9118,1254034,14645,Accept,6
1,employer,329944,11,yes,normal,2,5,2,2,1,2,,,Johor,3,,1220164,11040,Accept,9
1,employer,783763,,no,normal,2,,2,,1,2,condominium,10,Johor,2,6819,1122740,11934,Reject,9
1,employer,,23,yes,normal,2,5,2,2,1,1,condominium,10,Johor,3,11763,1423797,17178,Accept,6
1,employer,,21,no,normal,2,5,,,1,3,condominium,10,Johor,,,1372361,,Accept,8
1,employer,236410,19,yes,normal,2,5,2,2,1,3,condominium,10,Johor,1,8175,1194440,,Accept,9
1,employer,659582,23,no,gold,2,5,2,2,,2,condominium,10,Johor,1,6153,662544,,Reject,9
1,employer,,24,yes,normal,2,5,2,2,,2,condominium,10,Johor,1,6693,1381890,13067,Accept,7
1,employer,,21,no,gold,2,5,2,,1,3,condominium,10,Johor,2,8337,673952,13691,Accept,6
1,employer,177790,20,yes,normal,2,,2,2,1,1,,10,Johor,1,,1100588,,Reject,7
1,employer,307187,19,no,gold,2,,2,,,2,condominium,10,Johor,,,659895,,Reject,8
1,employer,141575,,yes,normal,2,5,2,,,3,condominium,,Johor,1,,525593,16949,Accept,9
1,employer,,15,no,normal,2,5,2,2,1,3,condominium,10,Johor,,,909020,,Accept,6
1,employer,598378,13,yes,normal,2,,2,2,1,2,condominium,,Johor,2,11778,980732,15020,Accept,7
1,employer,695823,24,no,normal,2,5,,,,1,condominium,10,Johor,2,,1001510,14525,Accept,9
1,employer,686314,,yes,gold,2,5,2,2,,2,,10,Johor,,6394,783852,,Reject,9
1,employer,239044,22,no,,2,,,,1,3,condominium,10,Johor,2,,1089965,11775,Reject,9
1,employer,141133,21,yes,normal,2,,2,,,1,condominium,10,Johor,,,1233187,16077,Accept,7
1,employer,402533,11,no,platinum,2,5,2,2,1,3,condominium,10,Johor,2,,,17361,Accept,7
1,employer,,13,yes,gold,2,5,2,2,1,1,condominium,10,Johor,2,,911230,13055,Accept,8
1,employer,557110,11,no,normal,2,5,,2,1,2,condominium,10,Johor,2,,,14788,Accept,7
1,employer,,16,yes,gold,2,5,2,,1,3,,10,Johor,1,4753,556824,15715,Accept,9
1,employer,475184,15,no,gold,2,,,2,1,2,condominium,10,Johor,2,10244,1429656,10203,Accept,8
1,employer,713740,,yes,gold,2,,2,2,,3,condominium,10,Johor,,3590,1270226,,Reject,8
1,employer,777663,18,no,normal,2,5,,2,,2,condominium,10,Johor,2,4480,1370283,16619,Accept,7
1,employer,197664,18,yes,gold,2,,,2,,1,condominium,10,Johor,3,4464,800328,16201,Accept,8
1,employer,505385,11,no,normal,2,5,,,,2,condominium,10,Johor,2,,690450,8474,Accept,6
1,,685977,24,yes,normal,2,5,2,,,1,condominium,10,Johor,,5029,436358,17934,Accept,9
1,employer,317361,23,no,gold,2,5,,2,1,2,condominium,10,Johor,,8807,900288,12263,Accept,9
1,employer,461385,21,yes,normal,2,5,2,,1,3,,10,Johor,1,11639,884482,9536,Accept,9
1,employer,,,no,platinum,2,,,,1,2,condominium,10,Johor,,8368,1366202,10966,Accept,7
1,employer,522489,,yes,gold,2,5,2,,1,3,condominium,10,Johor,3,8157,591823,17945,Accept,7
1,,137116,,no,normal,2,5,,,1,2,condominium,10,Johor,3,,,,Accept,7
1,employer,640133,17,yes,normal,2,5,2,,1,2,condominium,10,Johor,,3600,685876,12713,Accept,6
1,employer,169182,10,no,normal,2,,2,2,,2,condominium,10,Johor,,9463,1223803,,Accept,6
1,employer,352362,10,yes,gold,2,5,2,2,,1,condominium,10,Johor,3,8973,1336122,9567,Accept,9
1,,127205,15,no,normal,2,,,,1,3,condominium,10,Johor,1,,464657,13331,Reject,6
1,employer,409535,16,yes,normal,2,5,,2,,2,condominium,10,Johor,3,8118,1256233,,Accept,6
1,employer,534178,16,no,,2,,2,2,1,2,condominium,10,Johor,3,6855,1199910,,Accept,8
1,employer,652696,16,yes,normal,2,5,2,,1,2,condominium,10,Johor,3,,680814,12697,Reject,9
1,employer,226900,16,no,gold,2,,,,,2,condominium,10,Johor,1,,679777,15057,Accept,8
1,,452995,18,yes,gold,2,,,,1,2,condominium,10,Johor,,3688,840438,16100,Reject,6
1,employer,,15,no,normal,2,5,2,2,1,2,condominium,10,Johor,2,8622,1288713,19859,Reject,7
1,employer,638121,17,yes,normal,2,5,2,,,3,condominium,,Johor,2,11726,545646,7809,Reject,6
1,employer,247875,22,no,normal,2,5,2,2,1,1,condominium,10,Johor,2,12519,851018,15770,Reject,9
1,employer,,,yes,gold,2,5,2,2,1,2,condominium,,Johor,,10476,600309,10001,Reject,7
1,employer,,19,no,normal,2,,2,2,1,3,condominium,,Johor,3,11799,526880,,Accept,9
6,employer,696830,,yes,gold,2,6,2,2,1,3,condominium,,Johor,,,1395602,9790,Accept,9
6,employer,589976,17,no,normal,2,6,2,,1,1,condominium,10,Johor,1,8281,806983,18287,Accept,8
6,employer,551583,11,yes,gold,2,,2,,1,3,condominium,10,Johor,,10383,562038,,Accept,8
6,employer,517695,18,no,gold,2,6,2,,1,3,condominium,,Johor,3,5428,546043,,Accept,8
6,employer,614039,13,yes,normal,2,6,2,2,1,3,condominium,,Johor,2,6684,1215501,17239,Accept,8
6,employer,529936,,no,,2,6,2,2,1,2,condominium,10,Johor,3,7175,750247,,Reject,7
6,employer,361713,,yes,normal,2,6,2,,1,3,condominium,10,Johor,,10753,984563,18171,Accept,8
6,employer,668010,13,no,gold,2,6,2,2,,2,condominium,10,Johor,2,7132,1302913,,Accept,6
6,employer,115453,12,yes,gold,2,6,2,,,3,condominium,10,Johor,2,9685,,,Reject,8
6,employer,,22,no,gold,2,6,2,2,1,1,condominium,10,Johor,2,,1202187,11512,Accept,9
6,employer,436751,10,yes,normal,2,6,2,2,1,3,condominium,10,Johor,2,4466,795767,,Accept,9
6,employer,260873,15,no,normal,2,6,2,,1,2,condominium,10,Johor,,8145,432222,8619,Accept,7
6,employer,469773,17,yes,normal,2,,2,2,1,1,condominium,10,Johor,,,1014152,17727,Reject,8
6,employer,418570,17,no,platinum,2,6,,2,,3,condominium,,Johor,1,8955,430165,,Accept,9
6,employer,741127,12,yes,gold,2,6,,2,1,2,condominium,10,Johor,,7573,909932,17632,Accept,7
6,employer,143740,20,no,normal,2,6,,2,1,2,condominium,10,Johor,3,9350,989198,,Accept,6
6,employer,,18,yes,normal,2,6,2,,1,1,condominium,10,Johor,,12012,877950,11217,Reject,8
6,employer,584865,14,no,gold,2,6,,2,,1,condominium,10,Johor,,7084,1049055,17446,Accept,9
6,employer,594021,16,yes,normal,2,,2,,1,1,condominium,10,Johor,1,3886,1072056,,Reject,8
6,employer,,15,no,normal,2,6,2,,1,3,condominium,10,Johor,,,462999,,Accept,7
6,employer,784252,10,yes,normal,2,,,,1,3,condominium,10,Johor,1,,593755,,Accept,7
6,employer,320031,22,no,normal,2,,,2,1,3,condominium,10,Johor,,,1304388,12095,Accept,9
6,employer,586171,,yes,normal,2,6,2,,1,2,condominium,,Johor,3,8167,986044,11267,Accept,8
6,employer,426166,,no,normal,2,,2,2,1,2,condominium,10,Johor,1,4460,527257,14105,Accept,9
6,employer,,22,yes,normal,2,6,2,2,,3,condominium,10,Johor,,12483,911219,11297,Accept,6
6,employer,270671,16,no,normal,2,6,2,2,1,1,condominium,,Johor,2,9045,758809,19771,Reject,7
6,employer,269188,20,yes,normal,2,6,2,2,1,1,condominium,10,Johor,,8530,602708,12392,Accept,7
6,employer,,17,no,platinum,2,6,2,,1,2,condominium,10,Johor,,3761,901079,,Reject,8
6,employer,105577,20,yes,gold,2,,2,2,1,1,condominium,10,Johor,1,6671,1338424,,Accept,9
6,employer,787954,14,no,gold,2,6,2,2,1,3,condominium,10,Johor,2,4649,1158899,,Accept,6
6,employer,462446,17,yes,normal,2,6,,2,1,1,,10,Johor,3,12169,924297,,Accept,7
6,employer,477993,23,no,normal,2,6,2,,1,1,condominium,10,Johor,3,3912,605985,9906,Reject,8
6,employer,489336,17,yes,normal,2,6,2,2,,2,condominium,10,Johor,1,,1337201,10205,Accept,7
6,employer,513874,,no,platinum,2,6,,,1,2,condominium,10,Johor,3,4144,1073726,13200,Accept,7
6,employer,656453,,yes,normal,2,6,2,,1,3,condominium,,Johor,2,,,,Accept,8
6,employer,609577,16,no,normal,2,,2,2,1,2,condominium,10,Johor,2,9671,677064,,Accept,7
6,employer,386539,15,yes,normal,2,,2,2,1,3,condominium,,Johor,3,,1319239,9775,Accept,8
6,employer,137642,16,no,platinum,2,6,2,,,3,condominium,10,Johor,1,4940,842850,12586,Reject,6
6,employer,183586,17,yes,normal,2,6,2,2,1,3,condominium,10,Johor,2,8191,1427018,,Reject,7
6,employer,527945,18,no,normal,2,6,2,2,,1,condominium,,Johor,3,6345,1391346,,Accept,9
6,employer,676083,23,yes,platinum,2,6,,2,,3,condominium,10,Johor,3,8945,438094,8358,Accept,8
6,employer,401931,,no,gold,2,6,2,2,1,2,condominium,10,Johor,,8214,472127,8037,Accept,9
6,employer,,23,yes,gold,2,6,,2,1,2,condominium,10,Johor,,4938,934288,19728,Accept,8
6,employer,693005,,no,normal,2,6,2,,1,2,condominium,,Johor,3,3699,623478,,Accept,9
6,employer,,12,yes,normal,2,6,2,2,1,3,condominium,10,Johor,3,4008,552448,,Accept,8
6,employer,740785,12,no,gold,2,6,2,2,1,1,condominium,10,Johor,3,8222,842418,7731,Accept,8
6,employer,557554,,yes,normal,2,6,,,1,1,condominium,,Johor,,8932,646904,9306,Accept,6
6,employer,242183,23,no,normal,2,,2,2,1,1,condominium,10,Johor,3,,1307524,12481,Accept,8
6,employer,173436,22,yes,normal,2,6,2,2,1,3,condominium,10,Johor,,12246,1214167,,Accept,7
6,employer,237187,17,no,gold,2,6,2,,1,2,condominium,10,Johor,,6858,1172482,8439,Accept,8
6,employer,331828,12,yes,normal,2,,2,2,,1,condominium,10,Johor,,9975,873957,,Accept,8
6,employer,,14,no,gold,2,6,2,2,1,1,condominium,10,Johor,,6134,849370,7725,Reject,6
6,employer,151474,22,yes,normal,2,,2,,,3,,10,Johor,1,,753494,9126,Reject,7
6,employer,635895,13,no,platinum,2,6,2,2,1,2,condominium,10,Johor,,9895,1334964,14696,Accept,7
6,employer,,21,yes,gold,2,6,2,2,,2,condominium,10,Johor,3,10954,923249,,Accept,8
6,employer,,22,no,normal,2,6,,2,1,2,condominium,10,Johor,3,12191,,,Reject,7
6,employer,,,yes,normal,2,6,,,1,3,condominium,10,Johor,,5530,1146292,16147,Accept,6
6,employer,593441,11,no,normal,2,6,2,,1,1,condominium,,Johor,2,,1397221,17395,Reject,7
6,employer,202336,22,yes,normal,2,,,2,1,2,condominium,,Johor,,,859039,,Accept,9
6,employer,440879,18,no,platinum,2,,,2,1,1,,10,Johor,2,7039,727197,10504,Accept,7
6,employer,275895,,yes,gold,2,6,2,2,1,2,condominium,10,Johor,1,,440704,19217,Accept,8
6,employer,192042,17,no,normal,2,6,,,1,3,condominium,10,Johor,2,11707,787581,,Accept,8
6,employer,144562,22,yes,normal,2,6,2,2,,2,condominium,10,Johor,1,8236,,16914,Accept,7
6,employer,540001,,no,gold,2,,2,,,3,condominium,10,Johor,3,8602,1113986,,Accept,7
6,employer,254064,,yes,gold,2,6,2,2,1,2,condominium,,Johor,3,9043,787944,18526,Accept,9
6,employer,191277,,no,gold,2,6,2,2,,2,condominium,10,Johor,1,11987,742295,,Accept,9
6,employer,165333,18,yes,normal,2,6,2,2,1,2,condominium,10,Johor,3,,1336811,,Accept,9
6,employer,602067,20,no,normal,2,,2,,,2,,,Johor,2,5406,786869,,Accept,7
6,employer,388865,,yes,normal,2,6,2,2,1,3,condominium,10,Johor,,,1388365,,Accept,8
6,employer,,22,no,normal,2,6,2,2,1,2,condominium,10,Johor,,11899,420576,16052,Accept,9
6,employer,708619,,yes,normal,2,6,2,2,,2,condominium,10,Johor,1,4658,1440306,17423,Accept,9
6,employer,,13,no,normal,2,6,2,,1,2,,10,Johor,1,6358,984358,8233,Accept,7
6,employer,371469,12,yes,gold,2,,2,,,3,condominium,10,Johor,2,9980,734075,14810,Accept,6
6,employer,314438,17,no,normal,2,6,2,2,,2,condominium,10,Johor,,7222,428416,12522,Accept,8
6,employer,277066,23,yes,normal,2,6,,2,,3,condominium,10,Johor,1,,898568,8769,Accept,8
6,employer,206912,13,no,normal,2,6,,2,1,3,condominium,10,Johor,2,12098,,8469,Accept,7
6,employer,311541,,yes,normal,2,6,2,2,1,1,condominium,10,Johor,3,4808,1341881,9013,Accept,7
6,employer,584422,10,no,normal,2,,,2,1,3,condominium,10,Johor,1,,1435095,15133,Reject,8
6,employer,208272,23,yes,normal,2,6,2,,1,3,condominium,10,Johor,,9005,723345,13687,Accept,9
6,employer,653510,20,no,normal,2,6,2,2,1,3,condominium,10,Johor,,11859,1446900,10811,Accept,7
6,employer,180804,,yes,platinum,2,6,2,2,1,2,condominium,,Johor,,11098,1331507,,Accept,6
6,employer,639935,22,no,normal,2,6,2,2,1,1,condominium,10,Johor,,11521,848025,8134,Accept,6
6,employer,,17,yes,normal,2,,,,,1,condominium,10,Johor,3,,849337,,Accept,8
6,employer,159785,14,no,gold,2,6,2,2,1,1,condominium,10,Johor,,7030,1140469,,Accept,9
6,employer,502899,23,yes,gold,2,6,2,,1,2,condominium,10,Johor,2,8004,767665,,Accept,9
6,employer,738038,17,no,platinum,2,6,2,,,1,,10,Johor,1,4446,476535,,Reject,9
6,employer,318244,,yes,normal,2,6,2,,,1,condominium,10,Johor,,12337,1134223,19501,Accept,8
6,employer,424268,11,no,,2,6,2,2,1,3,condominium,10,Johor,,8760,1406634,15761,Accept,6
6,employer,687914,,yes,normal,2,,2,2,1,2,condominium,10,Johor,2,,534165,8941,Accept,6
6,employer,304063,15,no,normal,2,6,,,1,2,condominium,10,Johor,2,,420268,9518,Reject,8
6,employer,324626,24,yes,normal,2,,,,,3,condominium,,Johor,,11727,,15521,Accept,6
6,employer,449140,21,no,normal,2,,2,2,1,2,condominium,,Johor,,,,,Accept,6
6,employer,570416,17,yes,gold,2,6,,2,,1,condominium,10,Johor,1,6297,1338876,14094,Accept,9
6,employer,,11,no,normal,2,6,2,2,,3,condominium,10,Johor,2,,1275482,,Accept,9
6,employer,,17,yes,normal,2,6,2,,1,1,condominium,,Johor,,,717042,10691,Reject,9
6,employer,238022,,no,normal,2,6,2,2,1,2,condominium,,Johor,3,7330,801624,19817,Accept,9
6,employer,,15,yes,platinum,2,6,,2,1,3,condominium,10,Johor,,6118,753478,17923,Accept,8
6,employer,619477,18,no,platinum,2,6,,2,1,1,condominium,10,Johor,1,11968,906233,,Accept,8
6,employer,680649,,yes,gold,2,6,2,2,,3,condominium,,Johor,3,6376,441212,18404,Accept,8
6,employer,291391,11,no,normal,2,6,2,,1,2,condominium,10,Johor,2,6551,1423554,,Accept,9
2,Self_Employed,456764,11,yes,normal,2,,6,2,2,2,condominium,11,Johor,,9999,1334324,12142,Reject,7
2,Self_Employed,277808,16,no,normal,2,7,,2,2,1,condominium,11,Johor,,5994,920143,15724,Accept,9
2,Self_Employed,,21,yes,normal,2,7,,,,3,condominium,11,Johor,3,,726880,18518,Accept,8
2,Self_Employed,522160,12,no,platinum,2,7,,,,2,condominium,11,Johor,,4424,968181,,Accept,6
2,Self_Employed,668840,,yes,normal,2,7,,2,,3,condominium,11,Johor,3,9170,1099311,7775,Accept,7
2,Self_Employed,404623,16,no,gold,2,,,,,1,condominium,11,Johor,2,12195,675731,14534,Accept,8
2,Self_Employed,410589,,yes,gold,2,,6,2,2,2,condominium,11,Johor,,3954,1229131,,Accept,6
2,Self_Employed,118209,24,no,gold,2,7,6,2,,1,condominium,11,Johor,2,,563060,11310,Accept,9
2,Self_Employed,783134,18,yes,normal,2,,,,2,3,condominium,11,Johor,1,,732306,18763,Accept,9
2,Self_Employed,620152,20,no,normal,2,7,,,,1,condominium,11,Johor,3,,1249424,,Accept,6
2,Self_Employed,,23,yes,gold,2,,,2,,2,condominium,11,Johor,2,8242,1200318,17393,Accept,7
2,Self_Employed,632334,20,no,normal,2,7,,2,2,2,condominium,,Johor,1,4938,745454,,Accept,7
2,Self_Employed,290763,12,yes,platinum,2,,6,2,,1,,11,Johor,1,,478607,18129,Accept,6
2,Self_Employed,111645,14,no,normal,2,7,6,2,2,1,condominium,11,Johor,1,10771,933472,,Accept,8
2,Self_Employed,273371,11,yes,platinum,2,7,6,2,2,1,condominium,11,Johor,,,1175672,8758,Accept,7
2,Self_Employed,162119,16,no,platinum,2,,,2,2,1,condominium,11,Johor,3,4835,1272271,,Accept,6
2,Self_Employed,717226,24,yes,gold,2,7,,2,2,2,condominium,11,Johor,1,9166,976361,,Accept,7
2,Self_Employed,574186,,no,normal,2,7,6,2,2,3,condominium,11,Johor,,8600,786665,7867,Accept,9
2,Self_Employed,655447,21,yes,platinum,2,7,6,,,3,condominium,11,Johor,,9347,662504,,Accept,7
2,Self_Employed,506311,23,no,gold,2,7,6,2,2,2,condominium,11,Johor,1,7254,1182176,,Reject,7
2,Self_Employed,,17,yes,gold,2,7,,,2,2,condominium,11,Johor,,9048,1070848,10971,Reject,9
2,Self_Employed,,16,no,normal,2,,6,2,2,1,condominium,11,Johor,1,9162,779661,17599,Reject,8
2,Self_Employed,750375,21,yes,,2,7,6,,2,1,condominium,11,Johor,1,9063,1288954,15923,Accept,9
2,Self_Employed,619321,12,no,gold,2,7,6,2,2,2,condominium,11,Johor,2,,683546,18989,Accept,9
2,Self_Employed,,,yes,normal,2,7,6,,2,1,condominium,11,Johor,2,8198,1324214,,Accept,8
2,Self_Employed,227717,22,no,platinum,2,7,,2,,2,condominium,11,Johor,2,,678646,16922,Accept,7
2,Self_Employed,323720,,yes,normal,2,7,,2,,3,condominium,11,Johor,3,8558,744996,,Reject,8
2,Self_Employed,519429,22,no,normal,2,,6,2,,1,condominium,11,Johor,2,,574141,15886,Reject,7
2,Self_Employed,734436,,yes,gold,2,7,6,,2,3,condominium,11,Johor,,8989,464969,14163,Accept,9
2,Self_Employed,496612,20,no,normal,2,7,6,2,2,1,condominium,,Johor,,,,,Accept,8
2,Self_Employed,753421,15,yes,normal,2,7,,2,2,2,condominium,11,Johor,3,,510015,17508,Accept,9
2,Self_Employed,,18,no,normal,2,7,6,2,2,1,condominium,11,Johor,3,11193,714485,9630,Reject,8
2,Self_Employed,688535,15,yes,normal,2,7,6,2,,2,condominium,11,Johor,2,,1174216,,Accept,6
2,Self_Employed,301252,24,no,normal,2,7,6,2,2,2,condominium,11,Johor,,11955,875706,,Reject,6
2,Self_Employed,607916,,yes,normal,2,7,6,2,,3,,11,Johor,3,6807,519605,19915,Accept,9
2,Self_Employed,168456,12,no,,2,,6,2,2,1,condominium,11,Johor,,,1117874,,Accept,9
2,Self_Employed,779364,24,yes,normal,2,7,,2,2,3,condominium,11,Johor,3,9804,914763,,Accept,6
2,Self_Employed,455589,21,no,normal,2,7,6,2,,2,condominium,,Johor,2,,,12165,Accept,8
2,Self_Employed,,23,yes,normal,2,7,,,2,1,condominium,,Johor,3,10831,,11117,Accept,6
2,Self_Employed,556683,22,no,gold,2,7,6,2,2,3,condominium,11,Johor,3,,892015,9680,Reject,9
2,Self_Employed,,16,yes,normal,2,7,6,2,2,2,condominium,11,Johor,1,10436,456484,,Accept,7
2,Self_Employed,178287,,no,gold,2,7,6,2,2,3,condominium,11,Johor,,5169,1431815,16690,Reject,8
2,Self_Employed,140130,10,yes,normal,2,7,6,,2,1,condominium,11,Johor,,9839,733762,15972,Accept,6
2,Self_Employed,778563,17,no,normal,2,7,6,2,2,3,condominium,11,Johor,,4015,914178,,Accept,6
2,Self_Employed,778990,10,yes,normal,2,,,2,2,1,condominium,11,Johor,,8674,1173425,11363,Accept,6
2,Self_Employed,575864,10,no,normal,2,7,6,2,2,3,,,Johor,,11477,851245,,Accept,9
2,Self_Employed,,23,yes,normal,2,,6,2,2,2,condominium,11,Johor,1,11930,921067,,Accept,8
2,Self_Employed,,,no,normal,2,7,6,,2,1,condominium,11,Johor,3,10590,877414,,Reject,8
2,Self_Employed,172993,12,yes,gold,2,7,,,2,2,condominium,11,Johor,1,5300,981924,9532,Reject,7
2,Self_Employed,569773,22,no,normal,2,7,6,,2,3,condominium,11,Johor,1,12270,,17770,Accept,8
2,Self_Employed,117196,19,yes,platinum,2,7,6,2,,1,condominium,,Johor,3,9844,1158878,10524,Accept,8
2,Self_Employed,,11,no,gold,2,7,6,2,2,3,condominium,,Johor,2,4010,,16657,Accept,8
2,Self_Employed,510507,10,yes,normal,2,,,2,2,2,condominium,11,Johor,1,5452,524129,,Accept,7
2,Self_Employed,429475,17,no,normal,2,7,6,2,2,3,condominium,11,Johor,2,8698,872693,11454,Accept,8
2,Self_Employed,781070,24,yes,gold,2,7,,2,,2,condominium,11,Johor,1,7520,1404447,19695,Accept,6
2,Self_Employed,534860,24,no,platinum,2,,6,2,2,3,condominium,11,Johor,2,3689,552404,,Accept,7
2,Self_Employed,443237,16,yes,,2,7,6,,,1,condominium,11,Johor,1,4713,1253129,13821,Accept,9
2,Self_Employed,110270,17,no,normal,2,,6,2,2,2,condominium,11,Johor,1,11241,1041791,17527,Accept,9
2,Self_Employed,,23,yes,gold,2,,6,2,2,3,condominium,11,Johor,2,10626,940701,19031,Reject,8
2,Self_Employed,693756,15,no,gold,2,7,6,2,2,1,condominium,11,Johor,,10039,,8029,Accept,9
2,Self_Employed,545322,12,yes,normal,2,7,6,,2,2,condominium,11,Johor,3,3778,683226,10012,Accept,9
